Category,Character,CueKey,English,Context,SceneOrStage
Shaman_Wisdom,Shaman,shaman.line.001,Power without purpose is a candle in storm—shield your flame.,Stage guidance one-liner at mission start,Stages assorted
Shaman_Wisdom,Shaman,shaman.line.002,"When wolves circle, become the wind, not the tree.",Stage guidance one-liner at mission start,Stages assorted
Shaman_Wisdom,Shaman,shaman.line.003,Every fortress has a forgotten vein; feel for its pulse.,Stage guidance one-liner at mission start,Stages assorted
Shaman_Wisdom,Shaman,shaman.line.004,Listen for lies in the quiet between war drums.,Stage guidance one-liner at mission start,Stages assorted
Shaman_Wisdom,Shaman,shaman.line.005,Mercy is a blade—wield it or sheath it with intent.,Stage guidance one-liner at mission start,Stages assorted
Shaman_Wisdom,Shaman,shaman.line.006,The sky carries you if you leap with wisdom.,Stage guidance one-liner at mission start,Stages assorted
Shaman_Wisdom,Shaman,shaman.line.007,Your blood remembers thrones; let your heart remember people.,Stage guidance one-liner at mission start,Stages assorted
Shaman_Wisdom,Shaman,shaman.line.008,A map shows walls; breath finds doors.,Stage guidance one-liner at mission start,Stages assorted
Shaman_Wisdom,Shaman,shaman.line.009,"Count the steps of your fear, then step once more.",Stage guidance one-liner at mission start,Stages assorted
Shaman_Wisdom,Shaman,shaman.line.010,Even giants drown in inches of truth.,Stage guidance one-liner at mission start,Stages assorted
Boss_Hint,Shaman,boss.hint.general_krath,Vulnerable during thunder,Hint before confronting General Krath,Boss arena entry
Boss_Taunt,General Krath,boss.taunt.general_krath,You won't leave this keep alive!,Boss first sightline/taunt,Boss phase 1
Boss_Hint,Shaman,boss.hint.matron_vess,Mirror shields reflect her beam,Hint before confronting Matron Vess,Boss arena entry
Boss_Taunt,Matron Vess,boss.taunt.matron_vess,You won't leave this keep alive!,Boss first sightline/taunt,Boss phase 1
Boss_Hint,Shaman,boss.hint.dreadsmith_orun,Armor overheats near forges,Hint before confronting Dreadsmith Orun,Boss arena entry
Boss_Taunt,Dreadsmith Orun,boss.taunt.dreadsmith_orun,You won't leave this keep alive!,Boss first sightline/taunt,Boss phase 1
Boss_Hint,Shaman,boss.hint.high_warlock_zev,Interrupt chant with sonic arrows,Hint before confronting High Warlock Zev,Boss arena entry
Boss_Taunt,High Warlock Zev,boss.taunt.high_warlock_zev,You won't leave this keep alive!,Boss first sightline/taunt,Boss phase 1
Boss_Hint,Shaman,boss.hint.giant_golem_rauk,Cracks when frozen then shattered,Hint before confronting Giant Golem Rauk,Boss arena entry
Boss_Taunt,Giant Golem Rauk,boss.taunt.giant_golem_rauk,You won't leave this keep alive!,Boss first sightline/taunt,Boss phase 1
Boss_Hint,Shaman,boss.hint.corsair_queen_nyra,Harpoons jam the ship engine,Hint before confronting Corsair Queen Nyra,Boss arena entry
Boss_Taunt,Corsair Queen Nyra,boss.taunt.corsair_queen_nyra,You won't leave this keep alive!,Boss first sightline/taunt,Boss phase 1
Boss_Hint,Shaman,boss.hint.bonebreaker_hul,Only staggers after parry-perfect 3 times,Hint before confronting Bonebreaker Hul,Boss arena entry
Boss_Taunt,Bonebreaker Hul,boss.taunt.bonebreaker_hul,You won't leave this keep alive!,Boss first sightline/taunt,Boss phase 1
Boss_Hint,Shaman,boss.hint.warden_keth,Keys hidden on hawks,Hint before confronting Warden Keth,Boss arena entry
Boss_Taunt,Warden Keth,boss.taunt.warden_keth,You won't leave this keep alive!,Boss first sightline/taunt,Boss phase 1
Boss_Hint,Shaman,boss.hint.storm_titan_oxx,Grounded by conductive chains,Hint before confronting Storm Titan Oxx,Boss arena entry
Boss_Taunt,Storm Titan Oxx,boss.taunt.storm_titan_oxx,You won't leave this keep alive!,Boss first sightline/taunt,Boss phase 1
Boss_Hint,Shaman,boss.hint.beastmother_siva,Distract cubs,Hint before confronting Beastmother Siva,Boss arena entry
Boss_Taunt,Beastmother Siva,boss.taunt.beastmother_siva,You won't leave this keep alive!,Boss first sightline/taunt,Boss phase 1
Player_Bark,Protagonist,player.bark.low_health,I need a breath—now!,Triggered under 25% health,Systemic
Player_Bark,Protagonist,player.bark.power_ready,Power’s back online.,Triggered when any power cooldown ends,Systemic
Player_Bark,Protagonist,player.bark.rescue_done,You’re safe. Can you walk?,After rescue,Systemic
Player_Bark,Protagonist,player.bark.stealth_spotted,So much for quiet.,On detection,Systemic
Player_Bark,Protagonist,player.bark.finisher,Down you go.,On elite kill,Systemic
Cinematic,Narration,cinematic.quote.01,You are **Crownborn**.,Text board / VO overlay,Cinematics
Cinematic,Narration,cinematic.quote.02,Your blood remembers thrones.,Text board / VO overlay,Cinematics
Cinematic,Narration,cinematic.quote.03,loot beams,Text board / VO overlay,Cinematics
Cinematic,Narration,cinematic.quote.04,Every fortress has a forgotten vein; feel for its pulse.,Text board / VO overlay,Cinematics
Cinematic,Narration,cinematic.quote.05,"Count the steps of your fear, then step once more.",Text board / VO overlay,Cinematics
Cinematic,Narration,cinematic.quote.06,Your blood remembers thrones; let your heart remember people.,Text board / VO overlay,Cinematics
Cinematic,Narration,cinematic.quote.07,They took them when the rain began. I counted the lanterns. I counted my breath. I ran.,Text board / VO overlay,Cinematics
Cinematic,Narration,cinematic.quote.08,Maps are not walls. They are **doors** you have not opened yet.,Text board / VO overlay,Cinematics
Cinematic,Narration,cinematic.quote.09,I could have ended him. I chose the oath instead. My hands wouldn’t stop shaking.,Text board / VO overlay,Cinematics
Cinematic,Narration,cinematic.quote.10,A crown is a promise that outlives us. Mind the promise.,Text board / VO overlay,Cinematics
